loanId,clientId,Client Name,telephone,loan_amount,Disbursement Date,time,approvedBy,branch location,Status
GDM0045,GC1978,Hope Ssempala,077-278-5454,8190000,30-Jul-24,09:06,Officer A,Gulu Main,active
GDM0046,GC6813,James Ainomugisha,071-831-3820,6020000,04-Oct-24,16:58,Officer A,Layibi,closed
GDM0047,GC9091,Patrick Tumusiime,070-401-4496,2950000,31-Mar-24,11:23,Officer A,Layibi,closed
GDM0048,GC5068,George Mwesigwa,077-865-2778,3080000,01-Apr-24,14:47,Officer C,Pece,active
GDM0049,GC8514,David Tumusiime,076-257-0370,7770000,30-Jan-24,15:09,Officer D,Layibi,disbursed
GDM0050,GC7938,Patience Kyomuhendo,076-758-7728,2820000,29-Apr-24,10:46,Officer D,Pece,closed
GDM0051,GC2860,Rebecca Mukasa,074-161-0223,620000,04-Aug-24,09:44,Officer A,Bardege,active
GDM0052,GC6530,Faith Akello,078-773-2895,6210000,13-Aug-24,10:41,Officer B,Gulu Main,active
GDM0053,GC4607,Esther Opio,078-858-2606,4130000,04-Jun-24,12:01,Officer D,Layibi,active
GDM0054,GC9095,Agnes Tusiime,078-069-2839,5760000,01-Sep-24,15:14,Officer B,Gulu Main,active
GDM0055,GC4711,David Nambi,078-276-4718,9710000,05-Jul-24,16:20,Officer C,Pece,defaulted
GDM0056,GC5143,James Opolot,070-587-8561,1590000,17-Sep-24,09:41,Officer B,Pece,closed
GDM0057,GC3889,Joyce Katusiime,071-588-7823,4520000,15-Jul-24,17:10,Officer C,Bardege,defaulted
GDM0058,GC6631,Mercy Kato,078-115-1521,3560000,24-Nov-24,08:37,Officer A,Bardege,defaulted
GDM0059,GC9031,Solomon Ssempala,077-000-0062,320000,22-Jul-24,16:20,Officer C,Bardege,disbursed
GDM0060,GC1069,Rebecca Nabirye,070-571-6470,8570000,22-Sep-24,09:46,Officer C,Gulu Main,closed
GDM0061,GC9000,Hope Mukasa,070-123-4567,1687132,20-Nov-24,10:30,Officer B,Gulu Main,disbursed
GDM0062,GC9001,Mercy Nantume,070-123-4567,860084,20-Nov-24,10:30,Officer B,Gulu Main,disbursed
GDM0063,GC9002,Moses Byarugaba,070-123-4567,1738306,20-Nov-24,10:30,Officer B,Gulu Main,disbursed
GDM0064,GC8888,Midnight Loan Client,079-888-7777,4000000,19-Nov-24,01:30,Officer C,Pece,disbursed
GDM0065,GC7777,Huge Loan Person,077-666-5555,80000000,21-Nov-24,09:00,Officer A,Gulu Main,disbursed
