LOAN_REF,CUSTOMER_ID,CUSTOMER_NAME,PHONE_NUMBER,PRINCIPAL_AMOUNT,ISSUE_DATE,APPROVAL_TIME,EMPLOYEE_ID,BRANCH_CODE,LOAN_STATE
MCU-00034,CU38776,DAVID ATUHAIRE,256786363915,5340000,2024-05-21,16:50,EMP004,MCU03,ACTIVE
MCU-00035,CU65110,FLORENCE MWESIGWA,256704579351,7120000,2024-05-13,12:38,EMP006,MCU02,PAID
MCU-00036,CU45750,ISAAC ADONG,256757574342,6430000,2024-03-12,14:37,EMP006,MCU01,PAID
MCU-00037,CU86975,PETER MUGISHA,256724146745,5410000,2024-11-28,10:03,EMP002,MCU03,PAID
MCU-00038,CU33858,RUTH KATUSIIME,256726645180,9070000,2024-06-06,13:54,EMP001,MCU01,DEFAULTED
MCU-00039,CU84012,JOSEPH KATUSIIME,256707196727,420000,2024-08-28,08:48,EMP004,MCU04,ACTIVE
MCU-00040,CU62714,DOROTHY NAMBI,256762589295,5070000,2024-07-19,14:10,EMP003,MCU02,ACTIVE
MCU-00041,CU14873,RICHARD NALWANGA,256789525819,2000000,2024-09-21,08:54,EMP001,MCU02,ACTIVE
MCU-00042,CU23243,MERCY AUMA,256762326720,4870000,2024-08-23,10:11,EMP006,MCU03,PAID
MCU-00043,CU81351,JAMES MBABAZI,256794144270,740000,2024-08-14,09:04,EMP005,MCU04,ACTIVE
MCU-00044,CU10727,GEORGE TUMUSIIME,256714267435,8470000,2024-06-20,14:45,EMP004,MCU04,ACTIVE
MCU-00045,CU60174,PATRICK SSEMPALA,256709304349,6160000,2024-07-15,09:20,EMP006,MCU03,DEFAULTED
MCU-00046,CU25552,FAITH KYOMUHENDO,256740865917,8210000,2024-11-05,14:19,EMP004,MCU02,PAID
MCU-00047,CU88522,MERCY AKELLO,256746661737,5470000,2024-10-01,08:47,EMP002,MCU02,DEFAULTED
MCU-00048,CU94441,PETER SSEMPALA,256723921923,9670000,2024-01-17,10:43,EMP005,MCU02,PAID
MCU-00049,CU33412,MARGARET KATUSIIME,256793735645,260000,2024-04-24,12:58,EMP004,MCU01,ACTIVE
MCU-00050,CU45935,DAVID NATURINDA,256728774955,1730000,2024-12-03,10:48,EMP005,MCU03,PAID
MCU-00051,CU93486,SOLOMON ADONG,256775722796,9930000,2024-07-13,17:17,EMP006,MCU01,DEFAULTED
MCU-00052,CU61882,BETTY AMONGIN,256795028422,1490000,2024-01-02,12:39,EMP005,MCU02,PAID
MCU-00053,CU59467,MERCY MUGISHA,256798052602,840000,2024-08-26,14:09,EMP002,MCU01,ACTIVE
MCU-00054,CU96314,CATHERINE ASIIMWE,256700848095,1930000,2024-05-05,15:42,EMP004,MCU04,PAID
MCU-00055,CU85609,ISAAC AUMA,256765194903,9260000,2024-03-07,14:55,EMP006,MCU02,DEFAULTED
MCU-00056,CU64079,GEORGE MBABAZI,256725097770,1290000,2024-02-02,17:55,EMP003,MCU04,ACTIVE
MCU-00057,CU95439,DOROTHY BYARUGABA,256798127802,8510000,2024-11-01,16:26,EMP006,MCU02,ACTIVE
MCU-00058,CU88757,GEORGE AINOMUGISHA,256746083540,8110000,2024-08-27,10:21,EMP001,MCU02,ACTIVE
MCU-00059,CU69107,ROSE TUSIIME,256786809964,2310000,2024-06-09,13:13,EMP001,MCU04,ACTIVE
MCU-00060,CU67631,DANIEL AKELLO,256724309571,900000,2024-10-01,10:48,EMP004,MCU01,PAID
MCU-00061,CU98908,MERCY OPIO,256718499992,8420000,2024-01-12,12:11,EMP005,MCU01,PAID
MCU-00062,CU49312,FRANCIS KYOMUHENDO,256781266730,8950000,2024-11-09,10:35,EMP003,MCU03,DEFAULTED
MCU-00063,CU66923,MICHAEL NABIRYE,256793897530,5920000,2024-04-27,12:50,EMP001,MCU02,PAID
MCU-00064,CU46734,ESTHER NUWAGABA,256769250963,5930000,2024-11-01,17:41,EMP006,MCU01,ACTIVE
MCU-00065,CU71796,ROSE OPIO,256761633597,9830000,2024-08-28,14:50,EMP001,MCU02,ACTIVE
MCU-00066,CU97522,CHARLES NUWAGABA,256792215318,8890000,2024-02-07,13:42,EMP004,MCU02,PAID
MCU-00067,CU24302,FAITH KATUSIIME,256746514367,5130000,2024-02-08,17:31,EMP006,MCU02,PAID
MCU-00068,CU53515,GEORGE AMONGIN,256752048773,7610000,2024-10-28,13:24,EMP003,MCU04,ACTIVE
MCU-00069,CU76785,ROBERT AKELLO,256751976776,630000,2024-01-05,11:57,EMP002,MCU03,PAID
MCU-00070,CU24268,ROSE KATUSIIME,256791359346,5580000,2024-10-21,14:43,EMP002,MCU04,ACTIVE
MCU-00071,CU80000,FRANCIS AINOMUGISHA,256771111111,2174600,2024-11-10,13:00,EMP003,MCU01,ACTIVE
MCU-00072,CU80001,MARY NABIRYE,256771111111,1291225,2024-11-10,13:00,EMP003,MCU01,ACTIVE
MCU-00073,CU80002,GRACE MBABAZI,256771111111,1538878,2024-11-10,13:00,EMP003,MCU01,ACTIVE
MCU-00074,CU80003,CHARITY WASSWA,256771111111,3179434,2024-11-10,13:00,EMP003,MCU01,ACTIVE
MCU-00075,EMP002,EMPLOYEE SELF LOAN,256779999999,10000000,2024-11-12,11:30,EMP002,MCU02,ACTIVE
MCU-00076,CU99999,SERIAL BORROWER,256778888888,3000000,2024-11-14,08:30,EMP001,MCU01,ACTIVE
MCU-00077,CU99999,SERIAL BORROWER,256778888888,2500000,2024-11-14,16:00,EMP004,MCU03,ACTIVE
